source_cell_idx	receptor_cell_idx	likelihood	ligand_recptor	source_cell_type	target_cell_type
20	54	0.013523183316335629	Angpt1_Tek	Erythroidpro	Erythroid
38	54	0.12841311761920482	Angpt1_Tek	Erythroidpro	Erythroid
38	81	0.04311746919246021	Angpt1_Tek	Erythroidpro	Erythroid
38	88	0.03182373865790518	Angpt1_Tek	Erythroidpro	Erythroid
38	115	0.024094760241963536	Angpt1_Tek	Erythroidpro	Erythroidpro
38	118	0.023319468731217537	Angpt1_Tek	Erythroidpro	Erythroid
200	146	0.021031002179349303	Angpt1_Tek	Erythroidpro	SEC
200	159	0.1752209102814998	Angpt1_Tek	Erythroidpro	SEC
200	169	0.17707408883909262	Angpt1_Tek	Erythroidpro	SEC
200	211	0.011837873039923098	Angpt1_Tek	Erythroidpro	Erythroid
8	54	0.06338042900679937	Angpt2_Tek	Erythroidpro	Erythroid
8	81	0.027816940000285797	Angpt2_Tek	Erythroidpro	Erythroid
9	52	0.032537341792547796	Angpt2_Tek	Erythroidpro	Erythroid
9	63	0.017450332945718884	Angpt2_Tek	Erythroidpro	Erythroid
13	67	0.07943323210993845	Angpt2_Tek	Erythroidpro	Erythroid
18	54	0.05098831422384745	Angpt2_Tek	Hepatocyte	Erythroid
24	43	0.24987937016780332	Angpt2_Tek	Erythroid	Erythroidpro
24	67	0.11203929985731477	Angpt2_Tek	Erythroid	Erythroid
30	54	0.021439298099067364	Angpt2_Tek	Erythroidpro	Erythroid
32	43	0.06679154779692204	Angpt2_Tek	Erythroid	Erythroidpro
34	67	0.013831401985316842	Angpt2_Tek	Erythroidpro	Erythroid
36	43	0.02312697815397729	Angpt2_Tek	Erythroidpro	Erythroidpro
38	54	0.023856756340123464	Angpt2_Tek	Erythroidpro	Erythroid
43	52	0.051046760304791466	Angpt2_Tek	Erythroidpro	Erythroid
43	63	0.045163447770941646	Angpt2_Tek	Erythroidpro	Erythroid
43	67	0.22198255842782835	Angpt2_Tek	Erythroidpro	Erythroid
45	54	0.20477210520891223	Angpt2_Tek	Erythroidpro	Erythroid
45	81	0.05493990506597075	Angpt2_Tek	Erythroidpro	Erythroid
45	118	0.010329729234413687	Angpt2_Tek	Erythroidpro	Erythroid
46	43	0.11332265284394256	Angpt2_Tek	Erythroid	Erythroidpro
47	43	0.031135059976530453	Angpt2_Tek	Hepatocyte	Erythroidpro
49	43	0.12343613258383779	Angpt2_Tek	Erythroid	Erythroidpro
49	67	0.0424938908377345	Angpt2_Tek	Erythroid	Erythroid
52	43	0.023107860269722603	Angpt2_Tek	Erythroid	Erythroidpro
54	95	0.01678890064641733	Angpt2_Tek	Erythroid	Erythroidpro
56	67	0.08171294605001864	Angpt2_Tek	Erythroidpro	Erythroid
61	63	0.07841763803343932	Angpt2_Tek	Erythroidpro	Erythroid
61	67	0.14449987762870597	Angpt2_Tek	Erythroidpro	Erythroid
67	43	0.13811712434060144	Angpt2_Tek	Erythroid	Erythroidpro
67	97	0.038690441828877535	Angpt2_Tek	Erythroid	Erythroidpro
67	136	0.040441633518292525	Angpt2_Tek	Erythroid	Erythroidpro
67	138	0.03257969369942904	Angpt2_Tek	Erythroid	Erythroidpro
67	146	0.044795667769164424	Angpt2_Tek	Erythroid	SEC
67	159	0.11222136452157137	Angpt2_Tek	Erythroid	SEC
71	63	0.02888856797038794	Angpt2_Tek	Erythroidpro	Erythroid
71	67	0.1655086217558626	Angpt2_Tek	Erythroidpro	Erythroid
71	159	0.012921718397486563	Angpt2_Tek	Erythroidpro	SEC
73	67	0.026906228477773145	Angpt2_Tek	Erythroidpro	Erythroid
74	67	0.05734773455638444	Angpt2_Tek	Erythroidpro	Erythroid
80	95	0.06199133183154385	Angpt2_Tek	Erythroid	Erythroidpro
