source_cell_idx	receptor_cell_idx	likelihood	ligand_recptor	source_cell_type	target_cell_type
12	29	0.04264597854844273	Angpt1_Tek	Erythroidpro	MK
36	53	0.11539009589545526	Angpt1_Tek	MK	AEC
106	169	0.029882143079354065	Angpt1_Tek	Macrophage	Hepatocyte
110	53	0.07069786263220544	Angpt1_Tek	Hepatocyte	AEC
169	167	0.0646000215028158	Angpt1_Tek	Hepatocyte	MK
176	169	0.24874245771149361	Angpt1_Tek	Erythroidpro	Hepatocyte
176	209	0.07536392247537331	Angpt1_Tek	Erythroidpro	Hepatocyte
176	224	0.044832083464537036	Angpt1_Tek	Erythroidpro	Hepatocyte
201	210	0.07013526141292942	Angpt1_Tek	Erythroid	Hepatocyte
28	15	0.011010576939145008	Kitl_Kit	Erythroidpro	AEC
28	34	0.09983498951315163	Kitl_Kit	Erythroidpro	AEC
28	36	0.10113949642154219	Kitl_Kit	Erythroidpro	MK
31	34	0.012135921566302561	Kitl_Kit	Erythroidpro	AEC
31	86	0.020301334645384715	Kitl_Kit	Erythroidpro	Erythroid
33	10	0.022494477737172683	Kitl_Kit	MK	Erythroidpro
33	28	0.12767280725155353	Kitl_Kit	MK	Erythroidpro
33	31	0.3294637521361461	Kitl_Kit	MK	Erythroidpro
37	10	0.019868901479512577	Kitl_Kit	Erythroid	Erythroidpro
37	25	0.012022053585957372	Kitl_Kit	Erythroid	AEC
37	28	0.20577100447167687	Kitl_Kit	Erythroid	Erythroidpro
45	10	0.01097329996339272	Kitl_Kit	AEC	Erythroidpro
45	28	0.14392948878105005	Kitl_Kit	AEC	Erythroidpro
45	49	0.040719821605813646	Kitl_Kit	AEC	Erythroid
45	52	0.05724916659302832	Kitl_Kit	AEC	MK
53	28	0.0768875418303131	Kitl_Kit	AEC	Erythroidpro
53	49	0.030989073113023645	Kitl_Kit	AEC	Erythroid
53	52	0.13017380028399284	Kitl_Kit	AEC	MK
53	88	0.036739316077446495	Kitl_Kit	AEC	Erythroid
116	86	0.08416301292977683	Kitl_Kit	Macrophage	Erythroid
116	95	0.025257992859320188	Kitl_Kit	Macrophage	Hepatocyte
116	114	0.011186866917493621	Kitl_Kit	Macrophage	Erythroid
116	124	0.10408611216417869	Kitl_Kit	Macrophage	Hepatocyte
119	86	0.022803177803478878	Kitl_Kit	Hepatocyte	Erythroid
119	99	0.01663352953961649	Kitl_Kit	Hepatocyte	Erythroid
119	105	0.07139934526317883	Kitl_Kit	Hepatocyte	Erythroidpro
119	125	0.17080318241979545	Kitl_Kit	Hepatocyte	Erythroidpro
