source_cell_idx	receptor_cell_idx	likelihood	ligand_recptor	source_cell_type	target_cell_type
41	68	0.7861523489296395	Angpt1_Tek	Erythroidpro	Erythroid
41	127	0.5283046583325617	Angpt1_Tek	Erythroidpro	Erythroid
92	41	0.18785682812189833	Angpt1_Tek	Erythroidpro	Erythroidpro
92	68	0.4474261630789742	Angpt1_Tek	Erythroidpro	Erythroid
92	80	0.5786976643435302	Angpt1_Tek	Erythroidpro	Erythroidpro
92	127	0.20693878548670355	Angpt1_Tek	Erythroidpro	Erythroid
92	141	0.49950687039135394	Angpt1_Tek	Erythroidpro	Erythroid
130	41	0.6263144386641067	Angpt1_Tek	Erythroid	Erythroidpro
130	198	0.5419374281785626	Angpt1_Tek	Erythroid	Erythroidpro
137	68	0.30304513920797743	Angpt1_Tek	Erythroid	Erythroid
137	80	0.4850015976538333	Angpt1_Tek	Erythroid	Erythroidpro
137	164	0.5704489362731147	Angpt1_Tek	Erythroid	Erythroidpro
137	188	0.21210527110393743	Angpt1_Tek	Erythroid	Erythroidpro
137	198	0.15556480185656552	Angpt1_Tek	Erythroid	Erythroidpro
137	199	0.36705597251410893	Angpt1_Tek	Erythroid	Hepatocyte
167	80	0.7784950203654236	Angpt1_Tek	Erythroid	Erythroidpro
167	164	0.6866196195852909	Angpt1_Tek	Erythroid	Erythroidpro
167	188	0.2510292475645132	Angpt1_Tek	Erythroid	Erythroidpro
257	188	0.3048337539486848	Angpt1_Tek	Erythroid	Erythroidpro
257	229	0.3622546469292868	Angpt1_Tek	Erythroid	Erythroidpro
257	237	0.5189986122017144	Angpt1_Tek	Erythroid	Hepatocyte
257	283	0.4847941928020755	Angpt1_Tek	Erythroid	Erythroidpro
267	198	0.10635266412315564	Angpt1_Tek	Myeloid	Erythroidpro
267	199	0.20902807381823416	Angpt1_Tek	Myeloid	Hepatocyte
267	216	1.054595360993004	Angpt1_Tek	Myeloid	Erythroidpro
267	229	0.2729633378828937	Angpt1_Tek	Myeloid	Erythroidpro
267	237	0.15885778923346558	Angpt1_Tek	Myeloid	Hepatocyte
267	245	0.4786046217471609	Angpt1_Tek	Myeloid	Erythroid
267	283	0.18558699402184686	Angpt1_Tek	Myeloid	Erythroidpro
4	73	0.4091006106005945	Angpt2_Tek	Erythroid	Erythroid
9	73	0.27697987448040495	Angpt2_Tek	Erythroid	Erythroid
9	80	0.26360074479491796	Angpt2_Tek	Erythroid	Erythroidpro
10	41	0.12235234051503474	Angpt2_Tek	SEC	Erythroidpro
10	68	0.2731444012367573	Angpt2_Tek	SEC	Erythroid
23	73	1.3296163341349776	Angpt2_Tek	Erythroidpro	Erythroid
24	41	0.48386766082406	Angpt2_Tek	Erythroid	Erythroidpro
24	68	0.6551384785631766	Angpt2_Tek	Erythroid	Erythroid
25	68	0.20539861642737905	Angpt2_Tek	SEC	Erythroid
25	73	0.36974784005246536	Angpt2_Tek	SEC	Erythroid
25	80	0.37398632640495266	Angpt2_Tek	SEC	Erythroidpro
27	41	0.2823178463527146	Angpt2_Tek	Erythroid	Erythroidpro
27	68	0.40378653389767394	Angpt2_Tek	Erythroid	Erythroid
29	73	0.7265261388193135	Angpt2_Tek	Erythroid	Erythroid
29	80	0.7060189448404823	Angpt2_Tek	Erythroid	Erythroidpro
37	68	0.12042118125455738	Angpt2_Tek	SEC	Erythroid
37	73	0.21727500073451905	Angpt2_Tek	SEC	Erythroid
37	80	0.2311815533058608	Angpt2_Tek	SEC	Erythroidpro
39	73	0.6529364853804571	Angpt2_Tek	Erythroidpro	Erythroid
39	141	0.4833635022900184	Angpt2_Tek	Erythroidpro	Erythroid
41	68	1.358865783379916	Angpt2_Tek	Erythroidpro	Erythroid
41	127	1.0966070642404586	Angpt2_Tek	Erythroidpro	Erythroid
42	68	0.9606472338218016	Angpt2_Tek	Erythroidpro	Erythroid
44	73	0.3504658060554125	Angpt2_Tek	Erythroidpro	Erythroid
44	141	0.15455480211679462	Angpt2_Tek	Erythroidpro	Erythroid
45	73	0.4904611847504053	Angpt2_Tek	Erythroid	Erythroid
45	80	0.4689513293664723	Angpt2_Tek	Erythroid	Erythroidpro
45	141	0.3805918305049155	Angpt2_Tek	Erythroid	Erythroid
47	68	0.5563034196735743	Angpt2_Tek	Erythroidpro	Erythroid
47	127	0.37229216301571605	Angpt2_Tek	Erythroidpro	Erythroid
48	68	0.35700803180204443	Angpt2_Tek	Erythroidpro	Erythroid
49	68	0.2633400401359406	Angpt2_Tek	Erythroidpro	Erythroid
49	127	0.14463139930037597	Angpt2_Tek	Erythroidpro	Erythroid
50	41	0.4935473846341664	Angpt2_Tek	Erythroid	Erythroidpro
51	68	0.21066858766140958	Angpt2_Tek	Erythroidpro	Erythroid
51	73	0.3561280767205613	Angpt2_Tek	Erythroidpro	Erythroid
51	80	0.3622825409169711	Angpt2_Tek	Erythroidpro	Erythroidpro
51	141	0.30119409804487834	Angpt2_Tek	Erythroidpro	Erythroid
51	164	0.274487553796606	Angpt2_Tek	Erythroidpro	Erythroidpro
56	73	0.513592392015252	Angpt2_Tek	Erythroidpro	Erythroid
56	141	0.3416407410467267	Angpt2_Tek	Erythroidpro	Erythroid
58	41	0.12852044799128148	Angpt2_Tek	Erythroidpro	Erythroidpro
58	68	0.23437199596326802	Angpt2_Tek	Erythroidpro	Erythroid
58	80	0.342802518908018	Angpt2_Tek	Erythroidpro	Erythroidpro
58	164	0.2727537669455842	Angpt2_Tek	Erythroidpro	Erythroidpro
67	41	0.06689909061916093	Angpt2_Tek	Erythroid	Erythroidpro
67	73	0.21670967129268826	Angpt2_Tek	Erythroid	Erythroid
67	80	0.251702343497876	Angpt2_Tek	Erythroid	Erythroidpro
68	41	0.1258060296702018	Angpt2_Tek	Erythroid	Erythroidpro
68	164	0.30214229752481103	Angpt2_Tek	Erythroid	Erythroidpro
69	41	0.3102366264823713	Angpt2_Tek	Erythroid	Erythroidpro
70	80	0.7125576523422696	Angpt2_Tek	Erythroid	Erythroidpro
72	41	0.12112385156953626	Angpt2_Tek	Erythroid	Erythroidpro
72	164	0.2114601547705824	Angpt2_Tek	Erythroid	Erythroidpro
72	198	0.15172379219221768	Angpt2_Tek	Erythroid	Erythroidpro
75	41	0.3305473587972011	Angpt2_Tek	Erythroid	Erythroidpro
78	80	0.4513180454845017	Angpt2_Tek	Erythroid	Erythroidpro
79	41	0.35877974160297865	Angpt2_Tek	Erythroid	Erythroidpro
79	164	0.6334392774400089	Angpt2_Tek	Erythroid	Erythroidpro
80	73	0.7538672750609234	Angpt2_Tek	Erythroidpro	Erythroid
80	141	0.6754191259697777	Angpt2_Tek	Erythroidpro	Erythroid
87	41	0.2682161381879499	Angpt2_Tek	Erythroid	Erythroidpro
87	164	0.47010161676399465	Angpt2_Tek	Erythroid	Erythroidpro
90	80	0.44322252799761935	Angpt2_Tek	Erythroid	Erythroidpro
92	41	0.15786012545086378	Angpt2_Tek	Erythroidpro	Erythroidpro
92	68	0.2707829589813092	Angpt2_Tek	Erythroidpro	Erythroid
92	80	0.42077362423841597	Angpt2_Tek	Erythroidpro	Erythroidpro
92	127	0.17088396944127834	Angpt2_Tek	Erythroidpro	Erythroid
92	141	0.3443439504649101	Angpt2_Tek	Erythroidpro	Erythroid
93	41	0.10317697796827735	Angpt2_Tek	Erythroid	Erythroidpro
93	164	0.21343532489980135	Angpt2_Tek	Erythroid	Erythroidpro
93	198	0.1709783998968777	Angpt2_Tek	Erythroid	Erythroidpro
94	41	0.5039019919075032	Angpt2_Tek	Erythroid	Erythroidpro
96	80	0.45414000231485135	Angpt2_Tek	Erythroid	Erythroidpro
98	41	0.13958323512390175	Angpt2_Tek	Erythroid	Erythroidpro
98	198	0.23643159727564664	Angpt2_Tek	Erythroid	Erythroidpro
100	41	0.43464568677096754	Angpt2_Tek	Erythroidpro	Erythroidpro
100	68	0.6067287010631631	Angpt2_Tek	Erythroidpro	Erythroid
100	127	0.47801754648521394	Angpt2_Tek	Erythroidpro	Erythroid
105	68	0.3928399920599547	Angpt2_Tek	Erythroid	Erythroid
105	80	0.6436529208546106	Angpt2_Tek	Erythroid	Erythroidpro
105	164	0.5476749105444223	Angpt2_Tek	Erythroid	Erythroidpro
105	188	0.36397413551620267	Angpt2_Tek	Erythroid	Erythroidpro
105	199	0.32224987399947624	Angpt2_Tek	Erythroid	Hepatocyte
108	41	0.1146627612586861	Angpt2_Tek	Erythroid	Erythroidpro
108	164	0.3141063417780697	Angpt2_Tek	Erythroid	Erythroidpro
120	41	0.15885284517825432	Angpt2_Tek	Erythroidpro	Erythroidpro
120	68	0.2763216831282207	Angpt2_Tek	Erythroidpro	Erythroid
120	127	0.21252236341381547	Angpt2_Tek	Erythroidpro	Erythroid
120	199	0.20762401722070037	Angpt2_Tek	Erythroidpro	Hepatocyte
122	68	0.11258148781364012	Angpt2_Tek	Erythroid	Erythroid
122	127	0.05389556089473704	Angpt2_Tek	Erythroid	Erythroid
122	164	0.19066188709849263	Angpt2_Tek	Erythroid	Erythroidpro
122	188	0.08033648224139547	Angpt2_Tek	Erythroid	Erythroidpro
122	198	0.10981033971166089	Angpt2_Tek	Erythroid	Erythroidpro
122	199	0.07498247417184158	Angpt2_Tek	Erythroid	Hepatocyte
125	80	0.7133424602042797	Angpt2_Tek	Erythroid	Erythroidpro
131	80	0.772108633496768	Angpt2_Tek	Erythroid	Erythroidpro
131	164	0.6079283601937615	Angpt2_Tek	Erythroid	Erythroidpro
132	41	0.2658760214820115	Angpt2_Tek	Erythroid	Erythroidpro
133	41	0.05400398322945059	Angpt2_Tek	Erythroid	Erythroidpro
133	164	0.18787719375063808	Angpt2_Tek	Erythroid	Erythroidpro
133	188	0.08341874488641933	Angpt2_Tek	Erythroid	Erythroidpro
133	198	0.16318497080015731	Angpt2_Tek	Erythroid	Erythroidpro
133	199	0.08730382292812043	Angpt2_Tek	Erythroid	Hepatocyte
134	68	0.20388128129436425	Angpt2_Tek	Erythroidpro	Erythroid
