source_cell_idx	receptor_cell_idx	likelihood	ligand_recptor	source_cell_type	target_cell_type
62	73	0.11257109087257137	Angpt1_Tek	Erythroidpro	SEC
104	73	0.19405938464449077	Angpt1_Tek	Erythroidpro	SEC
104	96	0.11316934200144343	Angpt1_Tek	Erythroidpro	Erythroid
125	131	0.03391223692017439	Angpt1_Tek	Erythroidpro	Erythroid
54	73	0.021487947498953285	Angpt2_Tek	Erythroidpro	SEC
59	73	0.02111448218757725	Angpt2_Tek	Erythroidpro	SEC
73	96	0.04674037659199606	Angpt2_Tek	SEC	Erythroid
96	73	0.01359840533585074	Angpt2_Tek	Erythroid	SEC
99	152	0.07164292507104822	Angpt2_Tek	Erythroidpro	Erythroid
116	131	0.03329795532848719	Angpt2_Tek	Myeloid	Erythroid
144	125	0.042820969657089675	Angpt2_Tek	Erythroid	Erythroidpro
161	184	0.012454037873232585	Angpt2_Tek	Erythroid	Myeloid
45	14	0.19448709625351573	Kitl_Kit	Hepatocyte	Erythroid
45	15	0.020586799325284406	Kitl_Kit	Hepatocyte	Erythroidpro
45	28	0.0373855322781473	Kitl_Kit	Hepatocyte	Erythroidpro
45	65	0.08602128787078912	Kitl_Kit	Hepatocyte	Erythroidpro
45	79	0.020110927743810507	Kitl_Kit	Hepatocyte	Erythroidpro
46	18	0.03600140989120304	Kitl_Kit	SEC	Erythroidpro
46	82	0.0691255119956656	Kitl_Kit	SEC	Erythroidpro
46	131	0.048398331317539185	Kitl_Kit	SEC	Erythroid
67	65	0.16929771866886226	Kitl_Kit	Erythroid	Erythroidpro
113	123	0.09258346631962953	Kitl_Kit	Erythroid	Erythroidpro
113	201	0.01025632187251239	Kitl_Kit	Erythroid	Erythroidpro
136	81	0.10207008608649684	Kitl_Kit	Erythroid	SEC
136	82	0.05523575273442246	Kitl_Kit	Erythroid	Erythroidpro
136	97	0.05315589833843344	Kitl_Kit	Erythroid	Erythroidpro
136	116	0.23192589251892623	Kitl_Kit	Erythroid	Myeloid
160	157	0.01766470962411886	Kitl_Kit	Erythroid	Erythroid
160	163	0.05867036773390448	Kitl_Kit	Erythroid	Erythroid
160	214	0.18475728815397904	Kitl_Kit	Erythroid	Erythroid
227	200	0.09264402070467641	Kitl_Kit	Erythroidpro	Erythroid
227	207	0.15965068169817764	Kitl_Kit	Erythroidpro	Erythroid
227	214	0.03209657936648451	Kitl_Kit	Erythroidpro	Erythroid
227	266	0.04961890016279169	Kitl_Kit	Erythroidpro	Erythroid
257	200	0.011319980848254505	Kitl_Kit	Erythroidpro	Erythroid
257	207	0.01461193245100707	Kitl_Kit	Erythroidpro	Erythroid
257	214	0.047678674588451445	Kitl_Kit	Erythroidpro	Erythroid
257	262	0.0465850588542846	Kitl_Kit	Erythroidpro	Erythroid
257	266	0.1181491356830913	Kitl_Kit	Erythroidpro	Erythroid
257	269	0.017927003031934063	Kitl_Kit	Erythroidpro	SEC
261	215	0.03205356420555342	Kitl_Kit	Erythroid	SEC
261	246	0.19661765203227613	Kitl_Kit	Erythroid	Myeloid
261	260	0.08221638181750116	Kitl_Kit	Erythroid	Erythroid
261	269	0.021183798620600616	Kitl_Kit	Erythroid	SEC
73	117	0.01612443895146947	Cd34_Selp	SEC	Erythroidpro
88	117	0.2876939727699022	Cd34_Selp	Erythroid	Erythroidpro
160	117	0.014269643888416056	Cd34_Selp	Erythroid	Erythroidpro
195	210	0.0668569110684447	Cd34_Selp	Erythroid	Erythroidpro
195	244	0.021619334862993982	Cd34_Selp	Erythroid	Erythroidpro
269	188	0.12826276492746355	Cd34_Selp	SEC	Erythroid
