source_cell_idx	receptor_cell_idx	likelihood	ligand_recptor	source_cell_type	target_cell_type
59	111	0.17673193285947897	Angpt1_Tek	Erythroid	Hepatocyte
59	121	0.04983022000776248	Angpt1_Tek	Erythroid	Hepatocyte
76	61	0.011372728605604024	Angpt1_Tek	Hepatocyte	Erythroid
111	48	0.036805242046029474	Angpt1_Tek	Hepatocyte	Erythroid
124	51	0.022049828845072603	Angpt1_Tek	Hepatocyte	Erythroid
207	258	0.19041874609800166	Angpt1_Tek	Erythroid	Erythroid
110	111	0.026242383385818843	Angpt2_Tek	Erythroid	Hepatocyte
122	111	0.02591562159576591	Angpt2_Tek	Erythroid	Hepatocyte
46	9	0.03692384426816773	Kitl_Kit	Erythroid	Erythroid
46	68	0.2365702128543305	Kitl_Kit	Erythroid	Hepatocyte
46	113	0.27133924521072983	Kitl_Kit	Erythroid	Erythroidpro
89	79	0.29475611337015817	Kitl_Kit	Erythroid	Macrophage
89	113	0.10343586303096407	Kitl_Kit	Erythroid	Erythroidpro
89	156	0.12291409315896544	Kitl_Kit	Erythroid	Erythroid
89	163	0.04065069456943393	Kitl_Kit	Erythroid	Hepatocyte
146	53	0.033334539102581384	Kitl_Kit	Erythroid	Erythroidpro
146	76	0.347483428702848	Kitl_Kit	Erythroid	Hepatocyte
146	90	0.014136537263207379	Kitl_Kit	Erythroid	Erythroidpro
146	153	0.1989315918484728	Kitl_Kit	Erythroid	Hepatocyte
146	183	0.043900405492097096	Kitl_Kit	Erythroid	Hepatocyte
209	145	0.351652530967278	Kitl_Kit	Hepatocyte	Erythroid
209	211	0.03541810946914659	Kitl_Kit	Hepatocyte	Erythroid
209	232	0.07225146432388123	Kitl_Kit	Hepatocyte	Erythroid
258	207	0.5539529884642114	Kitl_Kit	Erythroid	Erythroid
215	111	0.331433965778924	Cd34_Selp	Erythroid	Hepatocyte
51	71	0.11604383817356213	Cdh5_Cdh5	Erythroid	Macrophage
71	51	0.11604389656934301	Cdh5_Cdh5	Macrophage	Erythroid
30	5	0.036087192773992735	Efnb2_Ephb4	Erythroid	Macrophage
35	86	0.04404998442565696	Efnb2_Ephb4	Erythroidpro	Hepatocyte
36	7	0.02682210666904607	Efnb2_Ephb4	Erythroidpro	Erythroid
48	5	0.054593581346066046	Efnb2_Ephb4	Erythroid	Macrophage
63	36	0.0341660170563057	Efnb2_Ephb4	Erythroid	Erythroidpro
63	95	0.03029024854275449	Efnb2_Ephb4	Erythroid	Hepatocyte
63	101	0.03831897460353735	Efnb2_Ephb4	Erythroid	Hepatocyte
63	104	0.012415516450206235	Efnb2_Ephb4	Erythroid	Macrophage
63	214	0.17231345774297424	Efnb2_Ephb4	Erythroid	Hepatocyte
86	53	0.4282779451376757	Efnb2_Ephb4	Hepatocyte	Erythroidpro
86	90	0.0616624700947268	Efnb2_Ephb4	Hepatocyte	Erythroidpro
86	98	0.048152416912428345	Efnb2_Ephb4	Hepatocyte	Erythroidpro
86	105	0.021566970206393844	Efnb2_Ephb4	Hepatocyte	Erythroidpro
86	181	0.09113160506432055	Efnb2_Ephb4	Hepatocyte	Hepatocyte
106	53	0.08272948221503898	Efnb2_Ephb4	Erythroid	Erythroidpro
106	90	0.05232419182488009	Efnb2_Ephb4	Erythroid	Erythroidpro
106	181	0.07000965252263058	Efnb2_Ephb4	Erythroid	Hepatocyte
111	48	0.013267021952793995	Efnb2_Ephb4	Hepatocyte	Erythroid
111	89	0.15427547340895525	Efnb2_Ephb4	Hepatocyte	Erythroid
111	173	0.12775310665064402	Efnb2_Ephb4	Hepatocyte	Erythroidpro
131	104	0.11133259589604942	Efnb2_Ephb4	Erythroidpro	Macrophage
131	181	0.02438132113338242	Efnb2_Ephb4	Erythroidpro	Hepatocyte
131	214	0.028519634962220368	Efnb2_Ephb4	Erythroidpro	Hepatocyte
170	181	0.07940940756948399	Efnb2_Ephb4	Erythroid	Hepatocyte
191	181	0.12571779143903566	Efnb2_Ephb4	Erythroid	Hepatocyte
196	207	0.10915190294798381	Efnb2_Ephb4	Erythroidpro	Erythroid
196	214	0.03764242702328581	Efnb2_Ephb4	Erythroidpro	Hepatocyte
196	222	0.02518280305289986	Efnb2_Ephb4	Erythroidpro	Hepatocyte
196	239	0.018189495598051643	Efnb2_Ephb4	Erythroidpro	Erythroid
239	164	0.020119578876484964	Efnb2_Ephb4	Erythroid	Macrophage
239	207	0.08432743866348029	Efnb2_Ephb4	Erythroid	Erythroid
239	214	0.09444793933038345	Efnb2_Ephb4	Erythroid	Hepatocyte
254	207	0.05352479981295552	Efnb2_Ephb4	Erythroid	Erythroid
29	31	0.05313606030382586	Dll1_Notch1	Erythroid	AEC
29	53	0.018864940994189575	Dll1_Notch1	Erythroid	Erythroidpro
29	82	0.022561597981428903	Dll1_Notch1	Erythroid	Erythroidpro
38	31	0.014167671385779243	Dll1_Notch1	Erythroid	AEC
38	82	0.1743801911511169	Dll1_Notch1	Erythroid	Erythroidpro
48	113	0.01413108422922068	Dll1_Notch1	Erythroid	Erythroidpro
38	10	0.1010721348465824	Dll1_Notch4	Erythroid	AEC
48	111	0.07390307081966896	Dll1_Notch4	Erythroid	Hepatocyte
51	113	0.013805701036359358	Dll4_Notch1	Erythroid	Erythroidpro
80	82	0.2940812917895306	Dll4_Notch1	Hepatocyte	Erythroidpro
80	113	0.013840587414199147	Dll4_Notch1	Hepatocyte	Erythroidpro
80	131	0.1280178636482395	Dll4_Notch1	Hepatocyte	Erythroidpro
111	48	0.15555153632296062	Dll4_Notch1	Hepatocyte	Erythroid
161	113	0.02789208844745987	Dll4_Notch1	Erythroid	Erythroidpro
51	113	0.14780978209606138	Dll4_Notch2	Erythroid	Erythroidpro
51	124	0.011547701641592837	Dll4_Notch2	Erythroid	Hepatocyte
59	111	0.015145916057366588	Dll4_Notch2	Erythroid	Hepatocyte
80	9	0.10017616926470636	Dll4_Notch2	Hepatocyte	Erythroid
80	21	0.01937748324664906	Dll4_Notch2	Hepatocyte	Erythroid
80	36	0.037560647399444876	Dll4_Notch2	Hepatocyte	Erythroidpro
80	54	0.012051610880721814	Dll4_Notch2	Hepatocyte	Erythroidpro
80	62	0.08474159014402764	Dll4_Notch2	Hepatocyte	Erythroid
80	68	0.02743199916199301	Dll4_Notch2	Hepatocyte	Hepatocyte
80	85	0.07416544208258338	Dll4_Notch2	Hepatocyte	Erythroidpro
80	100	0.020485984167174714	Dll4_Notch2	Hepatocyte	Hepatocyte
80	108	0.11892291451600212	Dll4_Notch2	Hepatocyte	Erythroidpro
80	113	0.10457676935304366	Dll4_Notch2	Hepatocyte	Erythroidpro
80	124	0.07694024200980985	Dll4_Notch2	Hepatocyte	Hepatocyte
80	131	0.04967891569279243	Dll4_Notch2	Hepatocyte	Erythroidpro
80	135	0.03306992248337208	Dll4_Notch2	Hepatocyte	Erythroid
80	141	0.029611506552622274	Dll4_Notch2	Hepatocyte	Erythroid
80	145	0.09801254264176326	Dll4_Notch2	Hepatocyte	Erythroid
80	158	0.2332222449990792	Dll4_Notch2	Hepatocyte	Erythroid
111	59	0.04601534289305502	Dll4_Notch2	Hepatocyte	Erythroid
111	89	0.07791078907652817	Dll4_Notch2	Hepatocyte	Erythroid
111	113	0.011433159405589453	Dll4_Notch2	Hepatocyte	Erythroidpro
111	118	0.05719909913551651	Dll4_Notch2	Hepatocyte	Erythroid
111	202	0.010910427401027949	Dll4_Notch2	Hepatocyte	Erythroid
161	75	0.013688088915864685	Dll4_Notch2	Erythroid	Erythroid
161	101	0.0219609034342551	Dll4_Notch2	Erythroid	Hepatocyte
161	113	0.1394544415772936	Dll4_Notch2	Erythroid	Erythroidpro
161	124	0.015845502895991615	Dll4_Notch2	Erythroid	Hepatocyte
161	204	0.02330370319049075	Dll4_Notch2	Erythroid	Erythroidpro
185	179	0.013365056121823687	Dll4_Notch2	Erythroid	Hepatocyte
185	181	0.020488688758964202	Dll4_Notch2	Erythroid	Hepatocyte
51	10	0.0519188163331	Dll4_Notch4	Erythroid	AEC
59	111	0.09631285383753801	Dll4_Notch4	Erythroid	Hepatocyte
80	38	0.061100889249059175	Dll4_Notch4	Hepatocyte	Erythroid
80	131	0.18646351643002296	Dll4_Notch4	Hepatocyte	Erythroidpro
161	111	0.038059468742099055	Dll4_Notch4	Erythroid	Hepatocyte
50	48	0.07549837300948024	Jag1_Notch1	Erythroidpro	Erythroid
91	48	0.08217424500743604	Jag1_Notch1	Hepatocyte	Erythroid
91	113	0.03614897311455973	Jag1_Notch1	Hepatocyte	Erythroidpro
104	131	0.12295400824509609	Jag1_Notch1	Macrophage	Erythroidpro
179	211	0.04857780650740934	Jag1_Notch1	Hepatocyte	Erythroid
46	113	0.0570948727773295	Jag1_Notch2	Erythroid	Erythroidpro
50	7	0.018861445443412783	Jag1_Notch2	Erythroidpro	Erythroid
50	68	0.13888978452172132	Jag1_Notch2	Erythroidpro	Hepatocyte
50	75	0.010891347067665454	Jag1_Notch2	Erythroidpro	Erythroid
50	113	0.02568467899566584	Jag1_Notch2	Erythroidpro	Erythroidpro
50	124	0.024043020623162725	Jag1_Notch2	Erythroidpro	Hepatocyte
