source_cell_idx	receptor_cell_idx	likelihood	ligand_recptor	source_cell_type	target_cell_type
35	59	0.16524056195819545	Angpt1_Tek	Erythroidpro	Erythroid
35	68	0.07866868551864252	Angpt1_Tek	Erythroidpro	AEC
35	102	0.042984701231569895	Angpt1_Tek	Erythroidpro	Hepatocyte
68	102	0.13628798444328033	Angpt1_Tek	AEC	Hepatocyte
136	86	0.04086883687051928	Angpt1_Tek	Erythroid	AEC
136	129	0.03829475238452032	Angpt1_Tek	Erythroid	Erythroidpro
1	4	0.034341295101195386	Kitl_Kit	Erythroid	AEC
30	7	0.0235840942959599	Kitl_Kit	Erythroid	Erythroidpro
30	23	0.040743961818821756	Kitl_Kit	Erythroid	Erythroid
53	96	0.058063385151922296	Kitl_Kit	Erythroid	Hepatocyte
87	36	0.02673869718568952	Kitl_Kit	Erythroidpro	Erythroid
87	49	0.25128303636842414	Kitl_Kit	Erythroidpro	Erythroid
87	76	0.06674016343790569	Kitl_Kit	Erythroidpro	Erythroid
87	96	0.029725993585137837	Kitl_Kit	Erythroidpro	Hepatocyte
87	128	0.039661331241673314	Kitl_Kit	Erythroidpro	Hepatocyte
87	140	0.015807075645457327	Kitl_Kit	Erythroidpro	Erythroid
148	97	0.01784509307390368	Kitl_Kit	Erythroidpro	Erythroid
148	128	0.015997612191987122	Kitl_Kit	Erythroidpro	Hepatocyte
148	130	0.08534193923181534	Kitl_Kit	Erythroidpro	Erythroid
148	140	0.09059601997392715	Kitl_Kit	Erythroidpro	Erythroid
148	146	0.08645012249187903	Kitl_Kit	Erythroidpro	Erythroid
148	193	0.08886381127285559	Kitl_Kit	Erythroidpro	Erythroidpro
165	78	0.05762161278702547	Kitl_Kit	Erythroid	Myeloid
165	109	0.1802239968401227	Kitl_Kit	Erythroid	Erythroidpro
165	127	0.019727415183998138	Kitl_Kit	Erythroid	Erythroidpro
165	160	0.04234147670079579	Kitl_Kit	Erythroid	Erythroidpro
165	162	0.08282708899907887	Kitl_Kit	Erythroid	Hepatocyte
165	166	0.0802841710390298	Kitl_Kit	Erythroid	Erythroidpro
165	180	0.021370664690902565	Kitl_Kit	Erythroid	Hepatocyte
165	197	0.1321833641859202	Kitl_Kit	Erythroid	Hepatocyte
165	208	0.03669354624770135	Kitl_Kit	Erythroid	Hepatocyte
217	177	0.315990688680366	Kitl_Kit	Erythroid	Erythroidpro
217	193	0.010903776720940579	Kitl_Kit	Erythroid	Erythroidpro
217	232	0.07895652911399831	Kitl_Kit	Erythroid	Erythroidpro
86	91	0.028297714258511745	Cdh5_Cdh5	AEC	Erythroid
91	86	0.02829771425452655	Cdh5_Cdh5	Erythroid	AEC
59	35	0.02709260736889294	Efnb2_Ephb4	Erythroid	Erythroidpro
59	60	0.11003416860387942	Efnb2_Ephb4	Erythroid	Myeloid
63	35	0.02619652226305932	Efnb2_Ephb4	Erythroid	Erythroidpro
63	60	0.18002386525144945	Efnb2_Ephb4	Erythroid	Myeloid
63	86	0.052132663030730914	Efnb2_Ephb4	Erythroid	AEC
63	101	0.021212657579607958	Efnb2_Ephb4	Erythroid	Myeloid
63	104	0.08146971630423777	Efnb2_Ephb4	Erythroid	Hepatocyte
63	115	0.15756088566006443	Efnb2_Ephb4	Erythroid	Hepatocyte
135	161	0.019573376804371424	Efnb2_Ephb4	Erythroidpro	Erythroid
135	163	0.03042814445725398	Efnb2_Ephb4	Erythroidpro	Erythroid
135	185	0.026476571048386563	Efnb2_Ephb4	Erythroidpro	Erythroid
47	27	0.021048316893653548	Dll1_Notch1	Erythroid	Erythroid
47	86	0.05873341466683821	Dll1_Notch1	Erythroid	AEC
188	200	0.07948634838555745	Dll1_Notch1	Erythroidpro	Erythroid
212	205	0.04482923254769462	Dll1_Notch1	Erythroidpro	Erythroid
212	218	0.047546011147815884	Dll1_Notch1	Erythroidpro	Erythroid
212	229	0.11412655177351563	Dll1_Notch1	Erythroidpro	Erythroid
47	86	0.07030518900495496	Dll1_Notch4	Erythroid	AEC
87	107	0.075033132885529	Dll1_Notch4	Erythroidpro	Hepatocyte
188	170	0.27818634742092846	Dll1_Notch4	Erythroidpro	Erythroid
212	170	0.0465127295576457	Dll1_Notch4	Erythroidpro	Erythroid
63	109	0.041200317094325645	Dll4_Notch1	Erythroid	Erythroidpro
145	180	0.3354253974841528	Dll4_Notch1	Erythroid	Hepatocyte
63	71	0.10138909110691677	Dll4_Notch2	Erythroid	Myeloid
63	99	0.02928967621866195	Dll4_Notch2	Erythroid	Erythroidpro
63	104	0.20447252217463596	Dll4_Notch2	Erythroid	Hepatocyte
86	48	0.011852806066890008	Dll4_Notch2	AEC	Erythroid
86	122	0.08734413433881517	Dll4_Notch2	AEC	Erythroidpro
