,source_cell_idx,receptor_cell_idx,likelihood,ligand_recptor,source_cell_type,target_cell_type,cell_pairs
1,25,15,0.1323318610177606,Angpt1_Tek,Erythroid,SEC,Erythroid_SEC
7,25,52,0.0188057750099454,Angpt1_Tek,Erythroid,Erythroidpro,Erythroid_Erythroidpro
48,26,59,0.0199645113180342,Angpt1_Tek,Hepatocyte,SEC,Hepatocyte_SEC
51,26,64,0.1052440458118619,Angpt1_Tek,Hepatocyte,SEC,Hepatocyte_SEC
80,31,3,0.0116690564418011,Angpt1_Tek,SEC,Erythroidpro,SEC_Erythroidpro
82,31,18,0.0533677668541156,Angpt1_Tek,SEC,Erythroid,SEC_Erythroid
84,31,43,0.1008816429719699,Angpt1_Tek,SEC,Erythroid,SEC_Erythroid
85,31,47,0.0316330970247784,Angpt1_Tek,SEC,Erythroidpro,SEC_Erythroidpro
92,31,66,0.0119312204280047,Angpt1_Tek,SEC,Erythroid,SEC_Erythroid
128,42,59,0.1937764196201057,Angpt1_Tek,Hepatocyte,SEC,Hepatocyte_SEC
131,42,64,0.1285004437971195,Angpt1_Tek,Hepatocyte,SEC,Hepatocyte_SEC
138,42,96,0.0260160363898472,Angpt1_Tek,Hepatocyte,SEC,Hepatocyte_SEC
163,70,25,0.0307033529568628,Angpt1_Tek,Hepatocyte,Erythroid,Hepatocyte_Erythroid
171,70,64,0.0458207418755282,Angpt1_Tek,Hepatocyte,SEC,Hepatocyte_SEC
174,70,76,0.0149618810091157,Angpt1_Tek,Hepatocyte,Erythroid,Hepatocyte_Erythroid
176,70,84,0.0145604366041591,Angpt1_Tek,Hepatocyte,Erythroidpro,Hepatocyte_Erythroidpro
177,70,90,0.0237784168112132,Angpt1_Tek,Hepatocyte,Erythroidpro,Hepatocyte_Erythroidpro
210,77,62,0.0308971481330289,Angpt1_Tek,SEC,Erythroid,SEC_Erythroid
214,77,76,0.033915253991174,Angpt1_Tek,SEC,Erythroid,SEC_Erythroid
217,77,90,0.1988557756412915,Angpt1_Tek,SEC,Erythroidpro,SEC_Erythroidpro
246,83,49,0.103816460251158,Angpt1_Tek,Hepatocyte,SEC,Hepatocyte_SEC
252,83,66,0.0124413896608472,Angpt1_Tek,Hepatocyte,Erythroid,Hepatocyte_Erythroid
255,83,78,0.0662362044915894,Angpt1_Tek,Hepatocyte,Erythroidpro,Hepatocyte_Erythroidpro
261,83,111,0.0165794404793067,Angpt1_Tek,Hepatocyte,SEC,Hepatocyte_SEC
266,83,136,0.0935953062147014,Angpt1_Tek,Hepatocyte,Erythroidpro,Hepatocyte_Erythroidpro
